# OBS_DATE
2006-04-09T04:58:42.323
# TELESCOPE
ESO-VLT-U2
# INSTRUMENT
UVES
# TARGET
2MASS J13004255+1912354
# EXPOSURE TIME (SEC)
3899.9993
# PROGRAMME ID
077.C-0449(A)
# RIGHT ASCENSION
13:00:42.2
# DECLINATION
19:12:26.8
# DETECTOR GAIN
0.63
# WAVELENGTH UNIT
Angstrom
# FLUX UNIT
ADU
# COMMENT
Adapted from the FITS (Flexible Image Transport System) format is defined in 'Astronomy
and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# DATA
WAVELENGTH,FLUX
6671.9380,42.9971
6671.9771,42.8046
6672.0162,47.8055
6672.0553,47.0790
6672.0944,37.3732
6672.1335,37.4717
6672.1726,50.2700
6672.2117,55.7171
6672.2508,53.2109
6672.2899,53.7933
6672.3290,51.3433
6672.3681,53.0185
6672.4072,58.3073
6672.4463,49.3990
6672.4854,31.4879
6672.5245,41.0256
6672.5636,46.1203
6672.6027,46.2351
6672.6418,44.9398
6672.6808,47.9862
6672.7199,45.0160
6672.7590,37.3563
6672.7981,39.0041
6672.8372,37.7194
6672.8763,38.6136
6672.9154,40.0262
6672.9545,44.8012
6672.9936,50.8765
6673.0327,43.3596
6673.0718,44.7228
6673.1109,31.8602
6673.1500,36.4844
6673.1891,26.1917
6673.2282,18.9897
6673.2673,32.2212
6673.3064,41.0149
6673.3455,33.2420
6673.3846,42.4080
6673.4236,24.8017
6673.4627,42.2815
6673.5018,30.4250
6673.5409,32.2557
6673.5800,28.8312
6673.6191,29.1205
6673.6582,29.4155
6673.6973,30.6083
6673.7364,26.4071
6673.7755,30.9472
6673.8146,34.1233
6673.8537,36.6197
6673.8928,39.2725
6673.9319,36.8855
6673.9710,27.1970
6674.0101,34.8157
6674.0492,39.9247
6674.0883,27.3310
6674.1274,36.9652
6674.1664,41.5752
6674.2055,38.8495
6674.2446,47.0524
6674.2837,44.5059
6674.3228,46.8222
6674.3619,31.8282
6674.4010,22.0850
6674.4401,29.0317
6674.4792,31.2629
6674.5183,32.7349
6674.5574,33.2480
6674.5965,21.9465
6674.6356,26.7589
6674.6747,24.7493
6674.7138,30.3937
6674.7529,33.4274
6674.7920,37.5144
6674.8311,37.7583
6674.8701,36.1228
6674.9092,41.1794
6674.9483,32.4680
6674.9874,30.8879
6675.0265,43.2370
6675.0656,48.9968
6675.1047,43.6026
6675.1438,45.1107
6675.1829,47.6084
6675.2220,42.5896
6675.2611,53.7939
6675.3002,45.3413
6675.3393,34.0866
6675.3784,31.8459
6675.4175,32.1748
6675.4566,39.0282
6675.4957,46.6736
